nestl_bw,nestl_fws,sex,nestl,sex_ratio,incomplete,nestl_age,nestl_r_tars,nestl_mass,ln_nestl_r_tars,ln_nestl_mass,nestl_scaled_mass,mean_brood_mass,sd_brood_mass,nest_id,year,plot,elevation,treatment,female_fws,female_bands,female_age,female_r_tars,female_mass,ln_female_r_tars,ln_female_mass,ln_female_scaled_mass,male_fws,male_bands,male_age,ccd,ccd_ord,eggs,hd,hd_ord,hatched,fd,fd_ord,fledged,fate,period,caterpillar_biomass_nestl,ln_caterpillar_biomass_nestl
4768,2510-08118,0,4,0.5,,6,16.66,7.2,2.813010637,1.974081026,7.098803613,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4769,2510-08119,0,4,0.5,,6,16.78,8.5,2.820187701,2.140066163,8.310334682,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4770,2510-08120,1,4,0.5,,6,16.33,8.1,2.793003907,2.091864062,8.175625172,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4771,2510-08121,1,4,0.5,,6,17.04,8.2,2.835563521,2.104134154,7.873852124,8,0.559761854,"""07-160""",2007,HB-mid,High,Control,2460-33037,"KG,KA",ASY,18.84,11.1,2.935982269,2.406945108,11.09432126,2430-61592,"A,WO",ASY,6/13/07,164,4,6/25/07,176,4,7/4/07,185,4,FLEDGED,1,12.43382572,2.52042064
4822,2460-33075,1,4,0.5,,6,15.8,8.5,2.76000994,2.140066163,8.917612186,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4823,2460-33076,0,4,0.5,,6,16.1,9.25,2.778819272,2.224623552,9.492870751,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4824,2460-33077,0,4,0.5,,6,15.7,8.5,2.753660712,2.140066163,8.984218278,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4825,2460-33079,1,4,0.5,,6,14.7,6.5,2.687847494,1.871802177,7.421184043,8.1875,1.179247642,"""07-163""",2007,HB-main,High,Fed,2460-33036,"GO,OA",SY,18.16,10.1,2.899221373,2.312535424,10.10441165,2460-33030,"A,PK",SY,6/13/07,164,4,6/25/07,176,4,7/2/07,183,0,failed: pred,1,24.26287665,3.188947472
4774,2460-33084,1,4,0.5,,6,16.7,8.3,2.815408719,2.116255515,8.160375626,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
4775,2460-33085,1,4,0.5,,6,15.3,7.6,2.727852828,2.028148247,8.27963129,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
4776,2460-33086,0,4,0.5,,6,16.6,8.2,2.809402695,2.104134154,8.119007358,8.175,0.419324854,"""07-177""",2007,HB-mid,High,Fed,2460-33070,"RO,RA",SY,17.54,10.5,2.864483987,2.351375257,10.51400506,2460-33002,"Y,AK",ASY,6/16/07,167,4,6/28/07,179,4,7/7/07,188,4,FLEDGED,1,9.093677543,2.207579397
